season,position,constructorRef,constructor_name,points,snapshot_round,snapshot_date
2026,1,mercedes,Mercedes,468,13,2026-09-06
2026,2,ferrari,Ferrari,346,13,2026-09-06
2026,3,mclaren,McLaren,287,13,2026-09-06
2026,4,red_bull,Red Bull,204,13,2026-09-06
2026,5,rb,Racing Bulls,75,13,2026-09-06
2026,6,alpine,Alpine,62,13,2026-09-06
2026,7,haas,Haas F1 Team,21,13,2026-09-06
2026,8,audi,Audi,16,13,2026-09-06
2026,9,williams,Williams,11,13,2026-09-06
2026,10,aston_martin,Aston Martin,3,13,2026-09-06
2026,11,cadillac,Cadillac,0,13,2026-09-06
