season,round,race_name,driverRef,driver_name,constructorRef
2025,1,Australian Grand Prix,norris,Lando Norris,mclaren
2025,2,Chinese Grand Prix,piastri,Oscar Piastri,mclaren
2025,3,Japanese Grand Prix,max_verstappen,Max Verstappen,red_bull
2025,4,Bahrain Grand Prix,piastri,Oscar Piastri,mclaren
2025,5,Saudi Arabian Grand Prix,piastri,Oscar Piastri,mclaren
2025,6,Miami Grand Prix,piastri,Oscar Piastri,mclaren
2025,7,Emilia Romagna Grand Prix,max_verstappen,Max Verstappen,red_bull
2025,8,Monaco Grand Prix,norris,Lando Norris,mclaren
2025,9,Spanish Grand Prix,piastri,Oscar Piastri,mclaren
2025,10,Canadian Grand Prix,russell,George Russell,mercedes
2025,11,Austrian Grand Prix,norris,Lando Norris,mclaren
2025,12,British Grand Prix,norris,Lando Norris,mclaren
2025,13,Belgian Grand Prix,piastri,Oscar Piastri,mclaren
2025,14,Hungarian Grand Prix,norris,Lando Norris,mclaren
2025,15,Dutch Grand Prix,piastri,Oscar Piastri,mclaren
2025,16,Italian Grand Prix,max_verstappen,Max Verstappen,red_bull
2025,17,Azerbaijan Grand Prix,max_verstappen,Max Verstappen,red_bull
2025,18,Singapore Grand Prix,russell,George Russell,mercedes
2025,19,United States Grand Prix,max_verstappen,Max Verstappen,red_bull
2025,20,Mexico City Grand Prix,norris,Lando Norris,mclaren
2025,21,Sao Paulo Grand Prix,norris,Lando Norris,mclaren
2025,22,Las Vegas Grand Prix,max_verstappen,Max Verstappen,red_bull
2025,23,Qatar Grand Prix,max_verstappen,Max Verstappen,red_bull
2025,24,Abu Dhabi Grand Prix,max_verstappen,Max Verstappen,red_bull
